,Symbol,Sell Time,Buy Time,High at order,Low at order,Entry,Exit,Entry Price,Exit Price,Sell Price,Buy Price,Exit Type,Operation,StopLoss,P and L
418,RECLTD,2022-07-12 11:30:00,2022-07-12 10:00:00,94.35,93.86,2022-07-12 10:00:00,2022-07-12 11:30:00,94.35,93.86,93.86,94.35,StopLoss,lower,93.86,-0.4899999999999949
419,ISEC,2022-07-13 10:15:00,2022-07-13 15:00:00,455.4,451.55,2022-07-13 10:15:00,2022-07-13 15:00:00,451.55,449.65,451.55,449.65,DayEnd,upper,455.4,1.900000000000034
420,LALPATHLAB,2022-07-13 13:00:00,2022-07-13 11:00:00,2041.5,2022.55,2022-07-13 11:00:00,2022-07-13 13:00:00,2041.5,2022.55,2022.55,2041.5,StopLoss,lower,2022.55,-18.950000000000045
421,PETRONET,2022-07-14 09:45:00,2022-07-14 10:15:00,222.6,220.45,2022-07-14 09:45:00,2022-07-14 10:15:00,220.45,222.6,220.45,222.6,StopLoss,upper,222.6,-2.1500000000000057
422,GLENMARK,2022-07-14 09:45:00,2022-07-14 15:00:00,398.95,392.35,2022-07-14 09:45:00,2022-07-14 15:00:00,392.35,387.3,392.35,387.3,DayEnd,upper,398.95,5.050000000000011
423,SANOFI,2022-07-14 09:45:00,2022-07-14 15:00:00,6796.0,6730.0,2022-07-14 09:45:00,2022-07-14 15:00:00,6730.0,6584.45,6730.0,6584.45,DayEnd,upper,6796.0,145.55000000000018
424,HINDZINC,2022-07-14 10:00:00,2022-07-14 11:15:00,285.2,283.65,2022-07-14 10:00:00,2022-07-14 11:15:00,283.65,285.2,283.65,285.2,StopLoss,upper,285.2,-1.5500000000000114
425,NATCOPHARM,2022-07-14 10:15:00,2022-07-14 15:00:00,658.0,651.7,2022-07-14 10:15:00,2022-07-14 15:00:00,651.7,650.0,651.7,650.0,DayEnd,upper,658.0,1.7000000000000455
426,DHANI,2022-07-15 10:30:00,2022-07-15 10:15:00,30.1,30.0,2022-07-15 10:15:00,2022-07-15 10:30:00,30.1,30.0,30.0,30.1,StopLoss,lower,30.0,-0.10000000000000142
427,WIPRO,2022-07-15 10:15:00,2022-07-15 09:45:00,395.75,393.9,2022-07-15 09:45:00,2022-07-15 10:15:00,395.75,393.9,393.9,395.75,StopLoss,lower,393.9,-1.8500000000000227
428,LTIM,2022-07-18 10:45:00,2022-07-18 11:15:00,4158.35,4146.0,2022-07-18 10:45:00,2022-07-18 11:15:00,4146.0,4158.35,4146.0,4158.35,StopLoss,upper,4158.35,-12.350000000000364
429,HAL,2022-07-18 10:00:00,2022-07-18 15:00:00,1774.8,1769.15,2022-07-18 10:00:00,2022-07-18 15:00:00,1769.15,1774.8,1769.15,1774.8,StopLoss,upper,1774.8,-5.649999999999864
430,APLLTD,2022-07-18 10:30:00,2022-07-18 10:00:00,709.0,706.4,2022-07-18 10:00:00,2022-07-18 10:30:00,709.0,706.4,706.4,709.0,StopLoss,lower,706.4,-2.6000000000000227
433,CANBK,2022-07-19 10:15:00,2022-07-19 10:45:00,217.9,217.0,2022-07-19 10:15:00,2022-07-19 10:45:00,217.0,217.9,217.0,217.9,StopLoss,upper,217.9,-0.9000000000000057
434,JSWENERGY,2022-07-19 10:15:00,2022-07-19 15:00:00,240.7,238.1,2022-07-19 10:15:00,2022-07-19 15:00:00,238.1,236.45,238.1,236.45,DayEnd,upper,240.7,1.6500000000000057
435,RBLBANK,2022-07-19 10:15:00,2022-07-19 12:45:00,88.1,87.7,2022-07-19 10:15:00,2022-07-19 12:45:00,87.7,88.1,87.7,88.1,StopLoss,upper,88.1,-0.3999999999999915
436,RELIANCE,2022-07-20 09:45:00,2022-07-20 11:00:00,2505.75,2487.2,2022-07-20 09:45:00,2022-07-20 11:00:00,2487.2,2505.75,2487.2,2505.75,StopLoss,upper,2505.75,-18.550000000000182
437,DHANI,2022-07-20 09:45:00,2022-07-20 10:45:00,33.95,33.3,2022-07-20 09:45:00,2022-07-20 10:45:00,33.3,33.95,33.3,33.95,StopLoss,upper,33.95,-0.6500000000000057
439,INDIAMART,2022-07-20 10:00:00,2022-07-20 15:00:00,4218.5,4185.0,2022-07-20 10:00:00,2022-07-20 15:00:00,4185.0,4157.0,4185.0,4157.0,DayEnd,upper,4218.5,28.0
440,HINDZINC,2022-07-20 13:45:00,2022-07-20 10:00:00,279.6,278.15,2022-07-20 10:00:00,2022-07-20 13:45:00,279.6,278.15,278.15,279.6,StopLoss,lower,278.15,-1.4500000000000455
441,SANOFI,2022-07-21 10:00:00,2022-07-21 15:00:00,6874.8,6842.85,2022-07-21 10:00:00,2022-07-21 15:00:00,6842.85,6710.0,6842.85,6710.0,DayEnd,upper,6874.8,132.85000000000036
442,DHANI,2022-07-21 10:00:00,2022-07-21 10:30:00,35.8,35.3,2022-07-21 10:00:00,2022-07-21 10:30:00,35.3,35.8,35.3,35.8,StopLoss,upper,35.8,-0.5
443,AUBANK,2022-07-21 10:15:00,2022-07-21 11:00:00,597.8,590.3,2022-07-21 10:15:00,2022-07-21 11:00:00,590.3,597.8,590.3,597.8,StopLoss,upper,597.8,-7.5
444,INDUSINDBK,2022-07-21 10:15:00,2022-07-21 10:45:00,925.4,922.15,2022-07-21 10:15:00,2022-07-21 10:45:00,922.15,925.4,922.15,925.4,StopLoss,upper,925.4,-3.25
445,GLAND,2022-07-21 15:00:00,2022-07-21 09:45:00,2296.0,2220.0,2022-07-21 09:45:00,2022-07-21 15:00:00,2296.0,2325.6,2325.6,2296.0,DayEnd,lower,2220.0,29.59999999999991
446,PEL,2022-07-22 09:45:00,2022-07-22 15:00:00,1863.2,1847.65,2022-07-22 09:45:00,2022-07-22 15:00:00,1847.65,1838.25,1847.65,1838.25,DayEnd,upper,1863.2,9.400000000000091
447,BHARATFORG,2022-07-22 10:00:00,2022-07-22 10:45:00,710.5,705.1,2022-07-22 10:00:00,2022-07-22 10:45:00,705.1,710.5,705.1,710.5,StopLoss,upper,710.5,-5.399999999999977
448,LICHSGFIN,2022-07-22 09:45:00,2022-07-22 15:00:00,384.95,380.35,2022-07-22 09:45:00,2022-07-22 15:00:00,380.35,377.0,380.35,377.0,DayEnd,upper,384.95,3.3500000000000227
449,NATCOPHARM,2022-07-22 09:45:00,2022-07-22 15:00:00,661.0,657.15,2022-07-22 09:45:00,2022-07-22 15:00:00,657.15,654.1,657.15,654.1,DayEnd,upper,661.0,3.0499999999999545
450,DHANI,2022-07-22 09:45:00,2022-07-22 12:00:00,38.25,37.4,2022-07-22 09:45:00,2022-07-22 12:00:00,37.4,38.25,37.4,38.25,StopLoss,upper,38.25,-0.8500000000000014
451,APOLLOHOSP,2022-07-25 09:45:00,2022-07-25 15:00:00,4226.5,4195.1,2022-07-25 09:45:00,2022-07-25 15:00:00,4195.1,4195.05,4195.1,4195.05,DayEnd,upper,4226.5,0.0500000000001819
453,OIL,2022-07-25 10:45:00,2022-07-25 10:30:00,188.85,188.4,2022-07-25 10:30:00,2022-07-25 10:45:00,188.85,188.4,188.4,188.85,StopLoss,lower,188.4,-0.44999999999998863
454,LAURUSLABS,2022-07-25 11:00:00,2022-07-25 10:30:00,497.25,495.0,2022-07-25 10:30:00,2022-07-25 11:00:00,497.25,495.0,495.0,497.25,StopLoss,lower,495.0,-2.25
455,VEDL,2022-07-26 12:15:00,2022-07-26 10:15:00,242.95,241.1,2022-07-26 10:15:00,2022-07-26 12:15:00,242.95,241.1,241.1,242.95,StopLoss,lower,241.1,-1.8499999999999943
456,LTTS,2022-07-26 11:30:00,2022-07-26 10:45:00,3275.0,3255.15,2022-07-26 10:45:00,2022-07-26 11:30:00,3275.0,3255.15,3255.15,3275.0,StopLoss,lower,3255.15,-19.84999999999991
457,NESTLEIND,2022-07-26 15:00:00,2022-07-26 10:30:00,18297.45,18250.25,2022-07-26 10:30:00,2022-07-26 15:00:00,18297.45,18504.3,18504.3,18297.45,DayEnd,lower,18250.25,206.84999999999854
458,SONACOMS,2022-07-26 11:00:00,2022-07-26 10:45:00,555.0,552.65,2022-07-26 10:45:00,2022-07-26 11:00:00,555.0,552.65,552.65,555.0,StopLoss,lower,552.65,-2.3500000000000227
459,MCDOWELL-N,2022-07-27 10:30:00,2022-07-27 10:15:00,801.25,796.0,2022-07-27 10:15:00,2022-07-27 10:30:00,801.25,796.0,796.0,801.25,StopLoss,lower,796.0,-5.25
460,VOLTAS,2022-07-27 15:00:00,2022-07-27 09:45:00,948.3,937.05,2022-07-27 09:45:00,2022-07-27 15:00:00,948.3,967.0,967.0,948.3,DayEnd,lower,937.05,18.700000000000045
461,APOLLOHOSP,2022-07-27 10:15:00,2022-07-27 10:00:00,4054.8,4034.75,2022-07-27 10:00:00,2022-07-27 10:15:00,4054.8,4034.75,4034.75,4054.8,StopLoss,lower,4034.75,-20.050000000000182
462,HINDZINC,2022-07-27 15:00:00,2022-07-27 09:45:00,262.7,260.85,2022-07-27 09:45:00,2022-07-27 15:00:00,262.7,262.8,262.8,262.7,DayEnd,lower,260.85,0.10000000000002274
463,INDUSINDBK,2022-07-28 10:15:00,2022-07-28 11:15:00,1013.6,1008.2,2022-07-28 10:15:00,2022-07-28 11:15:00,1008.2,1013.6,1008.2,1013.6,StopLoss,upper,1013.6,-5.399999999999977
464,BAJAJHLDNG,2022-07-28 10:45:00,2022-07-28 15:00:00,5241.95,5195.0,2022-07-28 10:45:00,2022-07-28 15:00:00,5195.0,5159.55,5195.0,5159.55,DayEnd,upper,5241.95,35.44999999999982
465,BAJFINANCE,2022-07-28 10:15:00,2022-07-28 11:30:00,6999.0,6965.0,2022-07-28 10:15:00,2022-07-28 11:30:00,6965.0,6999.0,6965.0,6999.0,StopLoss,upper,6999.0,-34.0
466,TVSMOTOR,2022-07-29 09:45:00,2022-07-29 15:00:00,934.65,919.0,2022-07-29 09:45:00,2022-07-29 15:00:00,919.0,909.85,919.0,909.85,DayEnd,upper,934.65,9.149999999999977
467,DLF,2022-07-29 10:00:00,2022-07-29 10:45:00,391.5,388.95,2022-07-29 10:00:00,2022-07-29 10:45:00,388.95,391.5,388.95,391.5,StopLoss,upper,391.5,-2.5500000000000114
468,LTIM,2022-07-29 10:00:00,2022-07-29 15:00:00,4835.0,4802.0,2022-07-29 10:00:00,2022-07-29 15:00:00,4802.0,4733.35,4802.0,4733.35,DayEnd,upper,4835.0,68.64999999999964
