,Symbol,Sell Time,Buy Time,High at order,Low at order,Entry,Exit,Entry Price,Exit Price,Sell Price,Buy Price,Exit Type,Operation,StopLoss,P and L,net p&l,funds
35,TATACHEM,2022-01-14 09:45:00,2022-01-14 15:00:00,1045.25,1035.3,2022-01-14 09:45:00,2022-01-14 15:00:00,1035.3,1032.4,1035.3,1032.4,DayEnd,upper,1045.25,2.8999999999998636,136.2999999999936,95336.28000000001
36,CUMMINSIND,2022-01-14 10:00:00,2022-01-14 15:00:00,1010.25,1002.05,2022-01-14 10:00:00,2022-01-14 15:00:00,1002.05,988.05,1002.05,988.05,DayEnd,upper,1010.25,14.0,812.0,95336.28000000001
37,LTIM,2022-01-14 15:00:00,2022-01-14 10:00:00,7068.9,7031.1,2022-01-14 10:00:00,2022-01-14 15:00:00,7068.9,7064.9,7064.9,7068.9,DayEnd,lower,7031.1,-4.0,-48.0,95336.28000000001
38,ACC,2022-01-14 10:15:00,2022-01-14 15:00:00,2366.0,2353.0,2022-01-14 10:15:00,2022-01-14 15:00:00,2353.0,2359.0,2353.0,2359.0,DayEnd,upper,2366.0,-6.0,-216.0,95336.28000000001
39,IRCTC,2022-01-14 10:15:00,2022-01-14 12:15:00,899.8,895.15,2022-01-14 10:15:00,2022-01-14 12:15:00,895.15,899.8,895.15,899.8,StopLoss,upper,899.8,-4.649999999999977,-474.2999999999977,95336.28000000001
40,ACC,2022-01-17 15:00:00,2022-01-17 09:45:00,2321.35,2301.0,2022-01-17 09:45:00,2022-01-17 15:00:00,2321.35,2386.95,2386.95,2321.35,DayEnd,lower,2301.0,65.59999999999991,1508.799999999998,95546.28000000001
41,AMBUJACEM,2022-01-17 15:00:00,2022-01-17 09:45:00,398.5,395.0,2022-01-17 09:45:00,2022-01-17 15:00:00,398.5,408.25,408.25,398.5,DayEnd,lower,395.0,9.75,1326.0,95546.28000000001
42,BOSCHLTD,2022-01-17 10:00:00,2022-01-17 15:00:00,17846.9,17774.5,2022-01-17 10:00:00,2022-01-17 15:00:00,17774.5,17694.95,17774.5,17694.95,DayEnd,upper,17846.9,79.54999999999927,477.29999999999563,95546.28000000001
43,NATIONALUM,2022-01-17 15:00:00,2022-01-17 10:00:00,109.95,108.55,2022-01-17 10:00:00,2022-01-17 15:00:00,109.95,110.65,110.65,109.95,DayEnd,lower,108.55,0.7000000000000028,238.70000000000095,95546.28000000001
44,GLENMARK,2022-01-17 15:00:00,2022-01-17 10:00:00,508.15,505.5,2022-01-17 10:00:00,2022-01-17 15:00:00,508.15,517.65,517.65,508.15,DayEnd,lower,505.5,9.5,1710.0,95546.28000000001
45,IOC,2022-01-18 09:45:00,2022-01-18 14:30:00,83.4,82.87,2022-01-18 09:45:00,2022-01-18 14:30:00,82.87,83.4,82.87,83.4,StopLoss,upper,83.4,-0.5300000000000011,-504.0300000000011,100807.08
46,M_MFIN,2022-01-18 09:45:00,2022-01-18 15:00:00,171.9,169.55,2022-01-18 09:45:00,2022-01-18 15:00:00,169.55,164.6,169.55,164.6,DayEnd,upper,171.9,4.950000000000017,1059.3000000000036,100807.08
47,BPCL,2022-01-18 09:45:00,2022-01-18 11:15:00,406.75,404.3,2022-01-18 09:45:00,2022-01-18 11:15:00,404.3,406.75,404.3,406.75,StopLoss,upper,406.75,-2.4499999999999886,-502.24999999999767,100807.08
48,MANAPPURAM,2022-01-18 09:45:00,2022-01-18 15:00:00,173.3,171.0,2022-01-18 09:45:00,2022-01-18 15:00:00,171.0,163.3,171.0,163.3,DayEnd,upper,173.3,7.699999999999989,1686.2999999999975,100807.08
