,Symbol,Sell Time,Buy Time,High at order,Low at order,Entry,Exit,Entry Price,Exit Price,Sell Price,Buy Price,Exit Type,Operation,StopLoss,P and L,net p&l,funds
85,VOLTAS,2022-05-06 15:00:00,2022-05-06 10:15:00,1068.55,1057.0,2022-05-06 10:15:00,2022-05-06 15:00:00,1068.55,1067.95,1067.95,1068.55,DayEnd,lower,1057.0,-0.5999999999999089,-26.399999999995995,102636.83000000007
86,HINDCOPPER,2022-05-09 10:15:00,2022-05-09 10:00:00,100.05,99.5,2022-05-09 10:00:00,2022-05-09 10:15:00,100.05,99.5,99.5,100.05,StopLoss,lower,99.5,-0.5499999999999972,-512.5999999999974,102610.43000000008
87,VOLTAS,2022-05-10 11:15:00,2022-05-10 10:15:00,1003.4,994.0,2022-05-10 10:15:00,2022-05-10 11:15:00,1003.4,994.0,994.0,1003.4,StopLoss,lower,994.0,-9.399999999999975,-507.59999999999866,102097.83000000009
88,AJANTPHARM,2022-05-11 15:00:00,2022-05-11 09:45:00,1074.0,1061.77,2022-05-11 09:45:00,2022-05-11 15:00:00,1074.0,1120.07,1120.07,1074.0,DayEnd,lower,1061.77,46.069999999999936,1888.8699999999974,101590.23000000008
89,ISEC,2022-05-11 10:15:00,2022-05-11 09:45:00,477.9,472.05,2022-05-11 09:45:00,2022-05-11 10:15:00,477.9,472.05,472.05,477.9,StopLoss,lower,472.05,-5.849999999999965,-503.099999999997,101590.23000000008
90,NATCOPHARM,2022-05-11 15:00:00,2022-05-11 10:00:00,686.8,675.25,2022-05-11 10:00:00,2022-05-11 15:00:00,686.8,680.0,680.0,686.8,DayEnd,lower,675.25,-6.7999999999999545,-292.39999999999804,101590.23000000008
91,DMART,2022-05-11 10:30:00,2022-05-11 10:15:00,3386.7,3360.0,2022-05-11 10:15:00,2022-05-11 10:30:00,3386.7,3360.0,3360.0,3386.7,StopLoss,lower,3360.0,-26.699999999999815,-507.2999999999965,101590.23000000008
92,ADANITRANS,2022-05-12 10:30:00,2022-05-12 10:15:00,2198.8,2165.6,2022-05-12 10:15:00,2022-05-12 10:30:00,2198.8,2165.6,2165.6,2198.8,StopLoss,lower,2165.6,-33.20000000000027,-498.0000000000041,102176.30000000009
93,DHANI,2022-05-12 12:45:00,2022-05-12 10:15:00,40.85,40.0,2022-05-12 10:15:00,2022-05-12 12:45:00,40.85,40.0,40.0,40.85,StopLoss,lower,40.0,-0.8500000000000014,-510.8500000000009,102176.30000000009
94,PEL,2022-05-12 11:15:00,2022-05-12 09:45:00,1807.65,1796.95,2022-05-12 09:45:00,2022-05-12 11:15:00,1807.65,1796.95,1796.95,1807.65,StopLoss,lower,1796.95,-10.700000000000044,-502.9000000000021,102176.30000000009
95,EICHERMOT,2022-05-16 10:15:00,2022-05-16 12:15:00,2588.75,2570.05,2022-05-16 10:15:00,2022-05-16 12:15:00,2570.05,2588.75,2570.05,2588.75,StopLoss,upper,2588.75,-18.699999999999818,-486.19999999999527,100664.55000000009
96,SHREECEM,2022-05-16 11:30:00,2022-05-16 09:45:00,22159.95,21877.05,2022-05-16 09:45:00,2022-05-16 11:30:00,22159.95,21877.05,21877.05,22159.95,StopLoss,lower,21877.05,-282.90000000000146,-282.90000000000146,100664.55000000009
97,AUROPHARMA,2022-05-16 10:15:00,2022-05-16 09:45:00,551.2,547.6,2022-05-16 09:45:00,2022-05-16 10:15:00,551.2,547.6,547.6,551.2,StopLoss,lower,547.6,-3.6000000000000227,-500.40000000000316,100664.55000000009
98,AUROPHARMA,2022-05-17 10:45:00,2022-05-17 10:15:00,545.8,542.3,2022-05-17 10:15:00,2022-05-17 10:45:00,545.8,542.3,542.3,545.8,StopLoss,lower,542.3,-3.5,-493.5,99395.05000000009
99,LUPIN,2022-05-19 15:00:00,2022-05-19 10:15:00,632.55,624.25,2022-05-19 10:15:00,2022-05-19 15:00:00,632.55,634.95,634.95,632.55,DayEnd,lower,624.25,2.400000000000091,141.60000000000537,98901.55000000009
100,LALPATHLAB,2022-05-19 12:15:00,2022-05-19 10:00:00,1968.35,1936.05,2022-05-19 10:00:00,2022-05-19 12:15:00,1968.35,1936.05,1936.05,1968.35,StopLoss,lower,1936.05,-32.299999999999955,-484.4999999999993,98901.55000000009
101,HEROMOTOCO,2022-05-23 10:15:00,2022-05-23 15:00:00,2676.65,2660.0,2022-05-23 10:15:00,2022-05-23 15:00:00,2660.0,2643.0,2660.0,2643.0,DayEnd,upper,2676.65,17.0,493.0,98558.6500000001
102,ISEC,2022-05-24 13:00:00,2022-05-24 10:15:00,448.4,444.4,2022-05-24 10:15:00,2022-05-24 13:00:00,448.4,444.4,444.4,448.4,StopLoss,lower,444.4,-4.0,-492.0,99051.6500000001
103,DIVISLAB,2022-05-26 10:30:00,2022-05-26 10:00:00,3438.55,3410.3,2022-05-26 10:00:00,2022-05-26 10:30:00,3438.55,3410.3,3410.3,3438.55,StopLoss,lower,3410.3,-28.25,-480.25,98559.6500000001
104,IPCALAB,2022-05-26 14:45:00,2022-05-26 09:45:00,926.0,908.7,2022-05-26 09:45:00,2022-05-26 14:45:00,926.0,908.7,908.7,926.0,StopLoss,lower,908.7,-17.299999999999955,-484.3999999999987,98559.6500000001
