,Symbol,Sell Time,Buy Time,High at order,Low at order,Entry,Exit,Entry Price,Exit Price,Sell Price,Buy Price,Exit Type,Operation,StopLoss,P and L
41,AMBUJACEM,2022-01-17 15:00:00,2022-01-17 09:45:00,398.5,395.0,2022-01-17 09:45:00,2022-01-17 15:00:00,398.5,408.25,408.25,398.5,DayEnd,lower,395.0,9.75
42,BOSCHLTD,2022-01-17 10:00:00,2022-01-17 15:00:00,17846.9,17774.5,2022-01-17 10:00:00,2022-01-17 15:00:00,17774.5,17694.95,17774.5,17694.95,DayEnd,upper,17846.9,79.54999999999927
43,VEDL,2022-01-17 11:15:00,2022-01-17 10:00:00,326.15,324.75,2022-01-17 10:00:00,2022-01-17 11:15:00,326.15,324.75,324.75,326.15,StopLoss,lower,324.75,-1.3999999999999773
44,GAIL,2022-01-17 15:00:00,2022-01-17 10:00:00,95.0,94.4,2022-01-17 10:00:00,2022-01-17 15:00:00,95.0,96.43,96.43,95.0,DayEnd,lower,94.4,1.4300000000000068
45,IOC,2022-01-18 09:45:00,2022-01-18 14:30:00,83.4,82.87,2022-01-18 09:45:00,2022-01-18 14:30:00,82.87,83.4,82.87,83.4,StopLoss,upper,83.4,-0.5300000000000011
46,M_MFIN,2022-01-18 09:45:00,2022-01-18 15:00:00,171.9,169.55,2022-01-18 09:45:00,2022-01-18 15:00:00,169.55,164.6,169.55,164.6,DayEnd,upper,171.9,4.950000000000017
47,BPCL,2022-01-18 09:45:00,2022-01-18 11:15:00,406.75,404.3,2022-01-18 09:45:00,2022-01-18 11:15:00,404.3,406.75,404.3,406.75,StopLoss,upper,406.75,-2.4499999999999886
48,MANAPPURAM,2022-01-18 09:45:00,2022-01-18 15:00:00,173.3,171.0,2022-01-18 09:45:00,2022-01-18 15:00:00,171.0,163.3,171.0,163.3,DayEnd,upper,173.3,7.699999999999989
49,PRESTIGE,2022-01-18 09:45:00,2022-01-18 15:00:00,544.7,538.05,2022-01-18 09:45:00,2022-01-18 15:00:00,538.05,524.55,538.05,524.55,DayEnd,upper,544.7,13.5
50,LALPATHLAB,2022-01-19 10:15:00,2022-01-19 09:45:00,3299.8,3256.0,2022-01-19 09:45:00,2022-01-19 10:15:00,3299.8,3256.0,3256.0,3299.8,StopLoss,lower,3256.0,-43.80000000000018
51,SYNGENE,2022-01-19 12:15:00,2022-01-19 09:45:00,605.0,591.2,2022-01-19 09:45:00,2022-01-19 12:15:00,605.0,591.2,591.2,605.0,StopLoss,lower,591.2,-13.799999999999955
52,BIOCON,2022-01-19 10:00:00,2022-01-19 10:15:00,362.75,360.4,2022-01-19 10:00:00,2022-01-19 10:15:00,360.4,362.75,360.4,362.75,StopLoss,upper,362.75,-2.3500000000000227
53,IDEA,2022-01-19 15:00:00,2022-01-19 10:00:00,11.75,11.65,2022-01-19 10:00:00,2022-01-19 15:00:00,11.75,11.95,11.95,11.75,DayEnd,lower,11.65,0.1999999999999993
54,ISEC,2022-01-19 10:15:00,2022-01-19 10:00:00,795.1,788.1,2022-01-19 10:00:00,2022-01-19 10:15:00,795.1,788.1,788.1,795.1,StopLoss,lower,788.1,-7.0
55,COALINDIA,2022-01-20 09:45:00,2022-01-20 12:00:00,167.5,165.5,2022-01-20 09:45:00,2022-01-20 12:00:00,165.5,167.5,165.5,167.5,StopLoss,upper,167.5,-2.0
56,TATACONSUM,2022-01-20 09:45:00,2022-01-20 15:00:00,742.0,733.65,2022-01-20 09:45:00,2022-01-20 15:00:00,733.65,725.0,733.65,725.0,DayEnd,upper,742.0,8.649999999999977
57,SYNGENE,2022-01-20 09:45:00,2022-01-20 15:00:00,628.25,616.0,2022-01-20 09:45:00,2022-01-20 15:00:00,616.0,609.05,616.0,609.05,DayEnd,upper,628.25,6.9500000000000455
58,TATACOMM,2022-01-20 10:30:00,2022-01-20 09:45:00,1489.2,1466.0,2022-01-20 09:45:00,2022-01-20 10:30:00,1489.2,1466.0,1466.0,1489.2,StopLoss,lower,1466.0,-23.200000000000045
59,CROMPTON,2022-01-20 15:00:00,2022-01-20 09:45:00,433.75,429.2,2022-01-20 09:45:00,2022-01-20 15:00:00,433.75,431.2,431.2,433.75,DayEnd,lower,429.2,-2.5500000000000114
60,TATAELXSI,2022-01-21 09:45:00,2022-01-21 15:00:00,7773.65,7694.65,2022-01-21 09:45:00,2022-01-21 15:00:00,7694.65,7310.05,7694.65,7310.05,DayEnd,upper,7773.65,384.59999999999945
61,TECHM,2022-01-21 10:00:00,2022-01-21 09:45:00,1634.95,1617.5,2022-01-21 09:45:00,2022-01-21 10:00:00,1634.95,1617.5,1617.5,1634.95,StopLoss,lower,1617.5,-17.450000000000045
62,VBL,2022-01-21 13:15:00,2022-01-21 09:45:00,613.93,606.67,2022-01-21 09:45:00,2022-01-21 13:15:00,613.93,606.67,606.67,613.93,StopLoss,lower,606.67,-7.259999999999991
63,DRREDDY,2022-01-21 15:00:00,2022-01-21 09:45:00,4496.3,4462.3,2022-01-21 09:45:00,2022-01-21 15:00:00,4496.3,4469.45,4469.45,4496.3,DayEnd,lower,4462.3,-26.850000000000364
64,VOLTAS,2022-01-21 11:00:00,2022-01-21 09:45:00,1231.2,1217.2,2022-01-21 09:45:00,2022-01-21 11:00:00,1231.2,1217.2,1217.2,1231.2,StopLoss,lower,1217.2,-14.0
65,RAMCOCEM,2022-01-24 14:00:00,2022-01-24 09:45:00,909.0,892.25,2022-01-24 09:45:00,2022-01-24 14:00:00,909.0,892.25,892.25,909.0,StopLoss,lower,892.25,-16.75
66,DMART,2022-01-24 10:00:00,2022-01-24 09:45:00,4182.15,4135.1,2022-01-24 09:45:00,2022-01-24 10:00:00,4182.15,4135.1,4135.1,4182.15,StopLoss,lower,4135.1,-47.04999999999927
67,ONGC,2022-01-24 10:00:00,2022-01-24 10:15:00,167.45,166.8,2022-01-24 10:00:00,2022-01-24 10:15:00,166.8,167.45,166.8,167.45,StopLoss,upper,167.45,-0.6499999999999773
68,DIVISLAB,2022-01-24 15:00:00,2022-01-24 10:00:00,3991.4,3935.7,2022-01-24 10:00:00,2022-01-24 15:00:00,3991.4,4015.55,4015.55,3991.4,DayEnd,lower,3935.7,24.15000000000009
69,ASHOKLEY,2022-01-24 10:15:00,2022-01-24 10:00:00,133.7,132.5,2022-01-24 10:00:00,2022-01-24 10:15:00,133.7,132.5,132.5,133.7,StopLoss,lower,132.5,-1.1999999999999886
70,DEEPAKNTR,2022-01-25 10:15:00,2022-01-25 09:45:00,2291.7,2249.85,2022-01-25 09:45:00,2022-01-25 10:15:00,2291.7,2249.85,2249.85,2291.7,StopLoss,lower,2249.85,-41.84999999999991
71,ASTRAL,2022-01-25 15:00:00,2022-01-25 09:45:00,2108.25,2078.15,2022-01-25 09:45:00,2022-01-25 15:00:00,2108.25,2115.75,2115.75,2108.25,DayEnd,lower,2078.15,7.5
72,MUTHOOTFIN,2022-01-25 10:00:00,2022-01-25 15:00:00,1487.45,1473.0,2022-01-25 10:00:00,2022-01-25 15:00:00,1473.0,1460.65,1473.0,1460.65,DayEnd,upper,1487.45,12.349999999999909
73,MPHASIS,2022-01-25 10:00:00,2022-01-25 10:30:00,3037.5,2990.0,2022-01-25 10:00:00,2022-01-25 10:30:00,2990.0,3037.5,2990.0,3037.5,StopLoss,upper,3037.5,-47.5
74,ZEEL,2022-01-25 10:00:00,2022-01-25 11:15:00,282.5,277.45,2022-01-25 10:00:00,2022-01-25 11:15:00,277.45,282.5,277.45,282.5,StopLoss,upper,282.5,-5.050000000000011
75,MFSL,2022-01-27 10:00:00,2022-01-27 09:45:00,884.8,878.0,2022-01-27 09:45:00,2022-01-27 10:00:00,884.8,878.0,878.0,884.8,StopLoss,lower,878.0,-6.7999999999999545
76,ONGC,2022-01-27 09:45:00,2022-01-27 15:00:00,168.3,167.35,2022-01-27 09:45:00,2022-01-27 15:00:00,167.35,165.55,167.35,165.55,DayEnd,upper,168.3,1.799999999999983
77,NAUKRI,2022-01-27 12:45:00,2022-01-27 09:45:00,4382.8,4303.55,2022-01-27 09:45:00,2022-01-27 12:45:00,4382.8,4303.55,4303.55,4382.8,StopLoss,lower,4303.55,-79.25
78,HDFCAMC,2022-01-27 10:45:00,2022-01-27 09:45:00,2165.0,2140.05,2022-01-27 09:45:00,2022-01-27 10:45:00,2165.0,2140.05,2140.05,2165.0,StopLoss,lower,2140.05,-24.949999999999818
79,CIPLA,2022-01-27 10:00:00,2022-01-27 10:30:00,915.25,906.3,2022-01-27 10:00:00,2022-01-27 10:30:00,906.3,915.25,906.3,915.25,StopLoss,upper,915.25,-8.950000000000045
